Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total Sediment, 1985 (T)","Total Sediment, 2007 (T)","Total Sediment, 2009 (T)","Total Sediment, 2010 (T)","Total Sediment, 2011 (T)","Total Sediment, 2012 (T)","Total Sediment, 2013 (T)","Total Sediment, 2014 (T)","Total Sediment, 2015 (T)","Total Sediment, 2016 (T)","Total Sediment Target, 2017 (T)","Total Sediment Target, 2025 (T)"
A24001PU2_3180_3370,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,75822.48926,72775.80078,70711.65576,71034.33886,71312.91699,72140.11719,72514.00489,64934.54212,63490.90509,67713.99414,,
A24001PU2_3180_3370,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3180_3370,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3180_3370,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,22483.15771,20159.08442,20215.16102,20209.08056,20020.26831,20052.73218,24904.94946,25536.28736,21182.28723,21819.6051,,
A24001PU2_3180_3370,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3370_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,2144981.118,1243614.521,1109598.055,1197860.187,1098483.491,1137812.327,803597.5416,1085763.133,990625.5576,973325.123,,
A24001PU2_3370_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,1644224.688,1575520.797,1531054.594,1538080.094,1543655.094,1562068.094,1562246.406,1407750.34,1373704.06,1465410.703,,
A24001PU2_3370_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3370_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WM1_3910_0001,24003,"ANNE ARUNDEL, MD",Patapsco/Back,Western Shore of Chesapeake Bay,Septic,0,0,0,,,,,,,,,
A24001PU2_3370_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,1252749.47,777268.2247,772182.7119,771024.9883,836665.4492,766288.3242,1066144.473,849544.0977,1059468.793,934487.5859,,
A24001PU2_3370_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,439.0663147,475.4299927,687.4057007,865.7526245,352.4078064,234.6333008,319.512085,261.555603,91.1174469,340.6145935,,
A24001PU4_3780_3930,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,490150.5005,283420.0786,252687.8905,272994.2561,250399.8004,259523.0865,180790.0021,246025.8735,224058.5706,220150.6343,,
A24001PU4_3780_3930,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,262445.3945,253851.6876,246731.5078,247887.2168,248892.9532,251806.6875,252463.7383,225844.2706,221289.8572,236060.6104,,
A24001PU4_3780_3930,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3780_3930,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3780_3930,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,1217227.413,726738.1192,720409.1817,718221.9944,710339.8382,712626.773,868913.05,884836.1292,703716.6746,717772.8267,,
A24001PU4_3780_3930,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,138607.9976,136310.9356,136310.9356,136310.9356,8081.833984,8081.833984,8081.833984,8081.833984,8081.833984,8081.833984,,
A24001PU4_3890_3990,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,23554.68017,13015.99166,11452.17661,12537.77277,11453.28351,12008.63872,9294.012581,12595.46179,11445.78076,11294.04267,,
A24001PU4_3890_3990,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,3970.991761,4395.450684,4308.111512,4348.120422,4390.924713,4460.918823,5157.773254,4521.699784,4444.187666,4760.815613,,
A24001PU4_3890_3990,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3890_3990,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3890_3990,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,17844.39542,17634.58512,17505.85345,17489.86654,17411.20042,17325.87913,7270.280711,7189.982949,7033.366405,7210.438792,,
A24001PU4_3890_3990,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,68307.50977,68363.78906,68363.78906,68363.78906,99050.26953,99050.26953,98981.25,98981.25,98981.25,98981.25,,
A24001PU4_3990_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,24047.34895,13198.32374,11590.72574,12721.50876,11609.60335,12190.48948,9595.027,12985.06482,11804.87846,11649.48409,,
A24001PU4_3990_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,3612.647278,3458.567993,3352.715332,3386.721954,3403.061371,3430.307404,4148.584655,3651.457397,3628.880822,3887.368622,,
A24001PU4_3990_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3990_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3990_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,31745.08862,35236.38012,33803.36755,31596.89379,31017.76055,32760.99628,20286.08045,20341.27822,18810.67201,20087.14365,,
A24001PU4_3990_3780,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,125464.793,201276.933,170864.9251,253388.6205,140046.3939,130022.2259,116753.0436,123597.1354,112671.3444,123067.5533,,
A24001PU5_3930_4170,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,742651.3209,431148.4622,384830.3823,415285.0098,381126.2619,394536.4186,269474.0946,368114.6428,335801.4353,329777.199,,
A24001PU5_3930_4170,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,629993.2031,598246.9609,580983.9376,583443.9609,585555.625,592084.6172,594523.7188,533654.2139,520752.207,555216.8047,,
A24001PU5_3930_4170,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_3930_4170,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_3930_4170,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,425364.4492,401412.5986,398229.125,397230.6563,392911.754,393748.4531,450981.3008,454029.625,478894.7148,452755.1211,,
A24001PU5_3930_4170,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,26400.14972,14600.04478,12850.06104,14063.44153,12854.87685,13470.96774,10436.85156,14122.64757,12839.22618,12673.38432,,
A24003WL0_4425_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,53372.90137,49721.646,48228.5166,48401.1914,48530.2627,49049.46826,49330.49903,44439.3186,43377.20912,46206.27393,,
A24001PU5_4170_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,1320.873108,1246.645279,1237.449692,1236.83831,1223.056915,1225.203553,3048.650703,3493.693748,2364.75148,2220.609413,,
A24001PU5_4170_4020,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_3870_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,25312.31979,13934.88435,12246.98472,13425.18697,12262.38578,12862.96854,9847.270249,13435.64983,12191.24244,12024.73894,,
A24001PU6_3870_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,422254.8438,390065.2695,378156.6172,379402.9844,380276.5469,384230.3633,386105.7461,348376.5195,339706.6495,361741.2969,,
A24001PU6_3870_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_3870_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_3870_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,134349.1104,126981.9662,126022.6544,125843.417,124469.9473,124716.5234,151756.7676,154237.8984,173900.1035,153076.4121,,
A24001PU6_3870_3690,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_4020_3870,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Agriculture,94409.07651,51661.33185,45325.20303,49764.76186,45448.17366,47753.89696,33657.31426,47543.93463,42835.09634,42263.10931,,
A24001PU6_4020_3870,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Forest,312055.8828,290105.0312,281360.3965,282349.7402,283116.4961,286078.9454,286885.0625,259236.4141,253096.8698,269575.6836,,
A24001PU6_4020_3870,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_4020_3870,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_4020_3870,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Stormwater,151786.7887,135302.5189,134327.9968,134154.4987,132698.8139,132888.7686,200163.0238,159643.1151,132674.4875,135238.8391,,
A24001PU6_4020_3870,24001,"ALLEGANY, MD",Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4390_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,16208.34491,10533.30589,9166.955894,8020.883891,6889.193126,6228.883213,6307.94201,6186.782542,4656.383584,4912.619025,,
A24003WL0_4390_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,121213.3799,91699.21631,88116.60157,86844.68995,86289.57055,85746.99903,94470.80372,87072.00531,85785.14825,86430.46045,,
A24003WL0_4390_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4390_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4390_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,1209500.655,1258597.82,1181788.613,1150455.664,1128972.629,1144697.898,992468.4697,1053879.953,1062375.754,1018213.566,,
A24003WL0_4390_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,3525.085938,3585.677979,3616.436035,3616.436035,3616.436035,210.0420074,210.0420074,210.0420074,210.0420074,,
A24003WL0_4391_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,70458.29182,45831.59126,39899.84521,34925.15464,30017.89363,27148.32568,27491.38283,26934.87973,20297.23893,21403.86573,,
A24003WL0_4391_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,104866.1426,94176.45166,92211.63037,90611.7461,90530.68067,90481.84082,87378.49072,82360.82245,81448.05048,81902.81909,,
A24003WL0_4391_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4391_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4391_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,469958.901,496483.1777,468495.6932,459839.1563,445528.1613,457286.4531,491953.8282,525492.1328,503700.4219,478907.9297,,
A24003WL0_4391_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,351.2752991,95.50460052,9.144190788,9.144190788,9.144190788,9.144190788,9.144190788,9.144190788,9.144190788,,
A24003WL0_4392_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,74009.90595,48091.93789,41849.87439,36614.82439,31450.85382,28429.56242,28785.84734,28246.61019,21252.50927,22421.12571,,
A24003WL0_4392_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,112365.6015,66459.10547,63536.49317,63270.26538,62975.948,62751.02881,66968.63525,61175.22638,59083.42868,59701.46155,,
A24003WL0_4392_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4392_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4392_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,1526803.357,1562437.034,1449220.896,1379929.245,1359575.462,1370977.715,1312273.349,1413556.973,1399610.859,1347256.594,,
A24003WL0_4392_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,19262.24023,8382.93457,8382.93457,8382.93457,8382.93457,38.76979828,38.76979828,38.76979828,38.76979828,,
A24003WL0_4393_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,25853.96097,16817.11729,14640.18332,12813.38554,11012.9628,9963.655106,10086.68472,9885.980138,7448.009201,7852.952829,,
A24003WL0_4393_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,4149.278076,4561.682801,4556.520141,4502.566498,4522.014145,4553.278122,3325.023468,3257.816611,3117.113613,3157.312435,,
A24003WL0_4393_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4393_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4393_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,15705.07873,14283.27795,13858.95386,13809.27783,13613.73486,13717.33398,22648.5559,23887.53711,20625.84009,19951.51849,,
A24003WL0_4393_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,2386.541992,2386.541992,2386.541992,2386.541992,2386.541992,251.3737946,251.3737946,251.3737946,251.3737946,,
A24003WL0_4394_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,58120.43627,37813.61805,32924.09556,28820.8928,24773.33269,22411.27174,22691.73536,22226.93208,16754.02587,17663.85125,,
A24003WL0_4394_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,24948.48926,24675.2268,24092.20203,23620.73841,23537.44471,23536.54456,14447.74127,20790.41014,20548.09644,20654.49915,,
A24003WL0_4394_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4394_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4394_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,68212.66303,91628.52338,82667.51563,79195.91188,77862.8606,78892.76953,129855.5078,102730.9512,104433.6094,93829.10059,,
A24003WL0_4394_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,102031.2031,74906.72608,61391.44483,85306.51514,74263.40576,66615.70264,59042.65552,78388.88599,67008.24536,34685.06567,,
A24003WL0_4420_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,274976.6416,178607.5748,155240.6765,135793.1943,116654.6125,105427.2784,106741.8198,104794.5645,78801.13651,83150.39047,,
A24003WL0_4420_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,198414.75,141173.1367,133484.5908,130418.5039,128745.9224,127442.834,129618.0859,120611.604,118319.539,118834.0536,,
A24003WL0_4420_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4420_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4420_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,958164.5667,1308058.419,1176541.033,1115988.374,1096349.479,1114342.797,987599.9219,1075557.797,1116225.891,1026816.57,,
A24003WL0_4420_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,1099.630981,1147.505005,1147.505005,1147.505005,1147.505005,386.1582947,386.1582947,386.1582947,386.1582947,,
A24003WL0_4421_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,157813.6017,102677.6022,89306.69965,78172.93394,67265.73136,60812.77891,61571.78201,60307.0267,45457.6075,47925.78784,,
A24003WL0_4421_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,110437.2452,97981.70361,95835.1167,94396.11718,94322.77685,94417.99365,99887.0752,94367.15063,92683.15326,93409.14441,,
A24003WL0_4421_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4421_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4421_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,733743.9161,750923.7442,711449.8643,694401.5821,679494.294,683819.7501,627478.3838,648487.1387,680126.543,651374.3945,,
A24003WL0_4421_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,5568.812012,5584.065918,5660.163086,5660.163086,5660.163086,109.5474014,109.5474014,109.5474014,109.5474014,,
A24003WL0_4422_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,35984.27467,23385.90595,20350.08119,17804.40722,15294.63915,13830.57815,14004.47306,13735.84658,10340.114,10907.47152,,
A24003WL0_4422_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,101170.5156,97839.14991,96594.42822,94976.21142,94999.93799,95303.26367,89093.39258,84793.64472,83821.86877,84216.73792,,
A24003WL0_4422_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4422_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4422_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,406654.0359,359619.3268,350863.0856,348361.2798,343584.7242,345585.1954,465557.2266,490246.6875,478670.2656,446936.0781,,
A24003WL0_4422_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,3209.611084,3209.611084,3209.611084,3209.611084,3209.611084,18.24266052,18.24266052,18.24266052,18.24266052,,
A24003WL0_4423_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,48316.57306,31453.64078,27391.03199,23983.68065,20623.92183,18662.79809,18895.91289,18491.68882,13951.82158,14704.2218,,
A24003WL0_4423_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,181205.2031,133954.8164,132993.4297,131610.7202,131650.8852,131926.8487,124332.5117,115179.6944,113293.9106,114097.1844,,
A24003WL0_4423_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4423_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4423_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,1751739.122,1557644.678,1512897.525,1506657.269,1486174.135,1495576.5,1521785.691,1633706.07,1660726.906,1586389.969,,
A24003WL0_4423_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,171389,67384.24219,71334.27149,119218.8633,143306.254,227116.5665,154487.3642,104267.8641,57334.48923,41899.45758,,
A24003WL0_4424_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,516260.8676,336075.705,292674.7431,256265.0369,220491.4145,199400.2971,201896.7973,197613.8441,149071.1079,157128.3152,,
A24003WL0_4424_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Forest,119504.9414,108677.3604,106658.8955,104872.7163,104919.9785,104969.188,96058.9502,90868.95874,89410.11621,89835.5072,,
A24003WL0_4424_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24003WL0_4424_0000,24003,"ANNE ARUNDEL, MD",Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
